Hari ke-,PM2.5_1,PM2.5_2,PM2.5_3,PM2.5_4,PM2.5_5,PM2.5_6,PM2.5_7,PM2.5_8,PM2.5_9,PM2.5_10,PM2.5_11,PM2.5_12,PM10_1,PM10_2,PM10_3,PM10_4,PM10_5,PM10_6,PM10_7,PM10_8,PM10_9,PM10_10,PM10_11,PM10_12,CO_1,CO_2,CO_3,CO_4,CO_5,CO_6,CO_7,CO_8,CO_9,CO_10,CO_11,CO_12,NO2_1,NO2_2,NO2_3,NO2_4,NO2_5,NO2_6,NO2_7,NO2_8,NO2_9,NO2_10,NO2_11,NO2_12,SO2_1,SO2_2,SO2_3,SO2_4,SO2_5,SO2_6,SO2_7,SO2_8,SO2_9,SO2_10,SO2_11,SO2_12,O3_1,O3_2,O3_3,O3_4,O3_5,O3_6,O3_7,O3_8,O3_9,O3_10,O3_11,O3_12,HC_1,HC_2,HC_3,HC_4,HC_5,HC_6,HC_7,HC_8,HC_9,HC_10,HC_11,HC_12,Pb_1,Pb_2,Pb_3,Pb_4,Pb_5,Pb_6,Pb_7,Pb_8,Pb_9,Pb_10,Pb_11,Pb_12
83,95.57,49.18,89.21,83.34,94.48,66.23,26.24,107.65,80.62,58.51,15.50,89.54,236.83,135.98,221.43,209.30,236.29,174.64,78.65,257.76,201.44,162.39,50.70,220.57,"10,973.93","7,377.25","10,562.92","10,059.04","10,959.19","8,734.46","5,071.46","11,851.12","9,703.79","8,422.20","4,028.07","10,656.23",577.28,184.84,521.08,475.80,610.85,319.34,114.19,708.46,435.50,242.48,80.00,547.74,272.46,162.05,254.17,240.27,273.13,206.56,87.19,301.88,233.93,186.74,52.52,257.87,304.84,216.93,292.42,283.05,306.67,255.55,152.25,325.71,275.97,244.84,120.00,293.01,149.04,91.89,140.32,131.27,149.80,114.47,60.23,160.63,128.37,106.08,45.00,141.40,1.43,0.92,1.35,1.28,1.44,1.13,0.65,1.55,1.26,1.04,0.50,1.38
84,64.82,43.43,69.70,71.83,71.77,54.26,24.12,101.49,70.70,49.87,10.45,86.28,168.86,121.70,174.92,182.64,183.96,147.51,69.75,251.22,180.75,136.71,33.98,216.73,"8,592.80","6,851.64","8,815.04","9,083.77","9,072.77","7,989.75","4,828.02","11,449.97","9,149.97","7,543.36","2,791.96","10,352.28",289.17,166.10,326.41,365.27,344.92,198.68,106.07,640.24,366.64,185.90,55.48,500.44,202.19,142.03,208.99,211.89,216.74,180.00,77.89,285.37,220.56,162.32,35.58,249.42,254.22,199.45,256.39,262.09,260.95,233.34,143.23,315.26,263.28,219.44,83.55,287.20,110.71,84.24,117.21,120.06,117.05,99.10,56.11,156.16,118.67,93.98,31.25,137.60,1.11,0.85,1.13,1.15,1.16,1.00,0.60,1.50,1.18,0.94,0.34,1.34
85,90.70,38.81,81.33,57.44,72.91,60.46,26.08,105.32,58.29,65.66,15.24,59.93,222.50,107.67,204.25,152.44,186.96,164.73,73.88,249.73,150.00,174.04,48.68,157.00,"10,609.12","6,351.81","9,898.46","8,144.89","9,437.29","8,315.83","5,072.56","11,708.90","8,151.10","8,823.06","3,989.57","8,328.42",538.96,150.12,439.84,210.23,364.86,255.42,108.73,679.72,216.60,328.81,79.69,240.72,263.78,129.33,236.81,186.70,220.54,194.34,86.97,294.81,183.28,203.44,51.81,194.07,297.15,188.54,277.81,239.20,263.99,244.96,151.21,320.75,239.19,255.63,117.42,244.41,142.57,77.03,133.00,103.71,121.21,105.64,59.99,160.87,103.40,115.66,44.00,103.59,1.38,0.79,1.28,1.03,1.18,1.07,0.63,1.51,1.03,1.11,0.50,1.03
86,115.17,55.40,81.03,87.07,81.05,85.10,45.73,124.50,69.66,53.18,31.18,75.96,278.43,150.00,199.30,216.56,205.81,211.70,125.59,293.02,177.58,146.87,89.56,194.37,"12,497.09","8,045.82","9,820.68","10,331.71","9,837.03","10,181.62","7,009.10","12,913.55","8,897.74","7,809.16","5,575.09","9,573.12",804.53,200.00,446.12,517.58,472.96,469.80,167.24,872.65,328.31,196.49,125.07,416.37,321.30,180.00,236.80,252.15,237.29,246.91,148.63,339.25,211.82,174.76,101.13,230.49,339.75,235.00,278.99,290.08,280.31,283.95,207.10,351.49,260.35,228.49,163.92,273.87,172.99,101.32,131.17,139.86,132.84,134.57,85.31,180.83,117.02,98.02,66.49,123.84,1.63,1.00,1.24,1.34,1.26,1.30,0.87,1.71,1.15,0.97,0.70,1.24
87,100.83,58.05,84.14,71.60,71.15,80.33,24.19,115.37,90.62,81.71,17.64,87.44,247.11,150.73,212.47,185.33,185.61,206.03,70.84,279.94,221.45,208.25,57.94,215.61,"11,270.72","8,157.73","10,129.93","9,277.72","9,092.37","9,779.91","4,848.90","12,406.61","10,463.43","9,877.48","4,229.80","10,196.22",629.65,225.76,469.93,366.02,354.61,451.62,106.02,784.13,539.86,452.84,88.08,502.08,280.93,186.28,248.60,222.42,219.45,238.87,78.06,323.59,258.86,244.03,59.66,249.06,315.24,237.73,286.39,267.89,261.91,276.96,143.68,340.99,296.32,282.30,127.16,287.54,152.62,101.48,132.79,119.35,120.77,131.23,56.26,174.41,139.99,131.29,48.90,135.37,1.48,1.01,1.32,1.18,1.18,1.26,0.61,1.64,1.37,1.27,0.53,1.31
88,90.19,59.58,82.90,93.43,81.80,70.91,25.90,97.71,82.21,56.42,27.85,91.35,226.78,159.81,207.14,231.44,204.36,184.22,76.02,238.11,206.60,153.01,81.60,224.55,"10,553.85","8,332.02","10,016.39","10,804.72","9,974.41","9,246.46","5,064.76","11,138.08","10,065.01","8,014.14","5,217.62","10,560.34",528.52,225.73,441.97,557.98,461.09,350.02,109.74,618.97,468.28,200.00,116.88,558.60,262.81,190.57,244.15,270.33,243.50,216.23,83.20,276.34,243.79,182.24,89.13,260.78,297.23,240.47,278.96,297.44,281.72,261.11,150.30,310.92,279.28,235.56,155.80,297.02,143.59,103.62,129.95,143.91,134.47,117.00,59.19,149.34,131.49,101.74,62.39,142.71,1.37,1.04,1.27,1.39,1.27,1.17,0.63,1.44,1.28,1.03,0.64,1.38
89,84.58,52.90,93.37,83.54,86.27,83.04,21.62,89.72,66.09,55.99,15.24,82.07,211.36,144.71,227.18,210.37,218.81,209.99,66.34,221.63,174.64,151.07,48.76,207.89,"10,219.80","7,728.92","10,768.93","10,207.27","10,284.62","9,911.19","4,583.67","10,461.68","8,826.90","8,122.67","4,000.00","9,890.65",508.50,194.76,567.16,468.86,498.78,449.93,98.85,527.16,298.81,204.01,78.53,465.25,250.11,171.37,269.73,243.41,255.39,244.28,69.12,264.64,207.98,183.51,51.20,241.23,289.59,230.56,299.47,283.46,292.76,281.55,135.84,295.52,254.84,240.16,117.05,280.98,135.28,96.37,145.91,135.77,140.58,132.22,52.47,142.37,112.58,102.34,44.96,134.32,1.31,0.97,1.39,1.32,1.35,1.29,0.58,1.37,1.11,1.03,0.50,1.27
90,74.42,54.93,89.59,80.02,84.35,42.02,38.59,101.97,66.66,58.84,18.69,88.29,186.56,150.00,223.98,205.06,211.35,119.45,107.35,246.84,175.70,151.63,58.88,219.44,"9,480.29","7,960.62","10,439.55","9,953.35","10,259.93","6,668.32","6,209.64","11,390.41","8,773.58","8,258.91","4,361.39","10,567.75",384.30,200.00,543.70,469.72,491.67,159.71,148.97,637.68,326.95,209.86,93.13,535.47,222.51,180.00,261.15,239.79,246.68,140.23,125.79,283.21,203.93,188.32,65.08,258.78,268.31,233.68,295.48,278.86,288.58,196.64,184.74,315.54,253.08,240.73,130.69,293.18,122.11,99.44,140.62,130.86,137.11,81.56,75.37,153.00,112.41,102.96,49.84,138.67,1.19,1.00,1.35,1.27,1.32,0.84,0.78,1.49,1.12,1.03,0.55,1.34
91,76.60,43.68,78.16,90.50,87.76,56.12,24.50,75.91,62.68,55.60,3.50,80.47,196.53,122.49,194.65,222.91,218.55,150.76,73.60,196.90,164.41,152.08,12.00,203.81,"9,564.72","6,794.26","9,637.00","10,524.76","10,430.79","8,084.47","4,938.26","9,618.16","8,302.39","8,000.00",400.00,"9,976.75",418.22,165.88,415.78,548.77,530.79,230.17,108.74,417.63,246.62,200.00,5.00,453.83,227.20,144.11,225.78,259.44,257.27,187.76,84.24,233.88,194.95,180.28,4.00,237.61,273.37,200.05,270.16,296.20,290.80,239.87,147.90,270.75,244.64,237.20,20.00,276.36,128.44,84.13,127.43,142.83,137.87,103.93,58.45,125.97,108.72,100.00,4.00,132.29,1.24,0.86,1.23,1.36,1.36,1.04,0.63,1.22,1.05,1.01,0.02,1.28
92,76.23,38.22,74.10,73.33,68.26,3.50,15.04,77.76,85.04,43.68,18.46,52.67,189.29,104.11,193.03,192.01,178.55,12.00,48.40,198.40,212.93,117.39,59.57,142.71,"9,534.96","6,212.14","9,589.57","9,405.99","9,017.25",400.00,"3,896.68","9,796.64","10,087.54","6,713.70","4,332.14","7,779.57",383.22,147.17,386.87,369.31,311.87,5.00,78.60,421.20,478.22,164.19,88.82,193.56,228.98,121.18,226.10,224.12,212.96,4.00,50.79,236.35,250.41,140.02,64.07,171.34,271.25,182.67,267.62,267.65,260.10,20.00,117.21,276.82,288.01,199.26,128.58,225.79,125.21,76.50,122.35,122.40,113.66,4.00,43.75,128.82,134.12,83.83,48.53,97.13,1.22,0.78,1.21,1.22,1.14,0.02,0.48,1.25,1.33,0.85,0.55,0.98
93,81.91,52.92,80.58,86.94,85.70,75.87,19.05,131.17,63.90,69.20,21.15,65.87,205.52,143.76,201.94,216.54,210.45,191.42,60.08,313.16,162.79,177.90,65.87,169.48,"10,012.22","7,746.01","9,812.77","10,407.67","10,126.09","9,697.72","4,337.34","13,735.21","8,489.92","9,005.51","4,567.86","8,611.44",475.99,190.67,445.66,516.87,496.44,407.98,88.92,966.71,283.05,327.04,98.50,277.38,239.83,172.60,244.11,247.91,253.01,231.55,63.76,359.69,193.50,207.01,72.22,204.31,281.66,228.52,282.05,291.12,285.62,273.98,129.46,368.71,244.26,259.32,137.18,251.58,130.68,96.06,133.52,138.21,137.51,127.55,50.17,194.98,108.65,117.12,52.53,109.73,1.29,0.96,1.29,1.32,1.32,1.22,0.54,1.82,1.07,1.13,0.57,1.09
94,83.21,50.07,92.65,87.01,98.72,75.36,17.07,93.90,69.10,74.82,19.24,58.33,206.91,139.01,229.01,220.36,239.30,189.30,51.08,229.10,178.76,188.52,58.13,160.50,"10,106.77","7,487.76","10,652.01","10,438.65","11,093.24","9,328.92","4,074.71","10,723.70","9,036.44","9,496.14","4,346.61","8,292.38",469.17,186.66,559.97,521.18,605.90,396.72,82.73,574.00,350.42,400.13,89.90,246.85,247.89,162.55,269.38,256.75,280.91,221.75,54.73,266.55,213.72,220.13,63.02,194.30,282.30,222.93,299.84,289.38,310.87,270.30,122.78,303.35,261.54,266.34,129.30,240.63,133.00,92.61,142.77,141.60,150.36,123.16,46.37,147.07,115.69,123.87,50.69,107.19,1.31,0.95,1.37,1.34,1.43,1.20,0.51,1.41,1.14,1.21,0.54,1.06
95,78.39,61.04,85.62,100.12,86.42,65.52,23.79,75.90,63.37,59.82,22.15,68.14,195.16,162.48,210.45,249.19,208.66,173.28,67.56,192.90,163.07,165.07,64.51,174.98,"9,740.33","8,303.71","10,101.15","11,426.21","10,176.58","8,587.88","4,758.91","9,616.00","8,626.25","8,521.16","4,576.41","8,866.12",415.66,242.66,477.13,629.50,475.20,290.02,104.28,390.56,293.28,275.18,96.31,317.16,234.33,189.01,250.45,282.71,249.09,204.66,78.32,231.55,196.83,197.10,73.65,211.30,277.45,243.65,286.14,316.93,288.52,251.41,142.41,268.82,248.61,243.17,139.36,257.57,125.67,107.47,135.35,155.92,136.50,110.77,55.20,124.89,111.10,106.24,53.77,117.40,1.24,1.05,1.30,1.47,1.32,1.10,0.59,1.21,1.08,1.07,0.58,1.12
96,85.93,48.37,86.45,79.35,81.66,77.50,28.42,99.18,69.97,3.50,18.76,57.41,212.96,134.62,211.99,205.56,205.31,198.93,85.42,247.18,174.77,12.00,57.76,152.26,"10,364.89","7,331.61","10,293.77","9,755.99","10,010.96","9,779.16","5,405.09","11,376.49","8,977.31",400.00,"4,203.52","8,208.46",504.40,181.86,490.02,443.49,452.45,434.07,120.63,643.37,315.22,5.00,88.17,227.64,251.31,157.84,248.61,238.06,238.93,236.21,96.85,284.99,208.17,4.00,61.35,186.08,289.79,215.51,286.65,280.63,280.02,277.01,160.37,313.73,258.15,20.00,127.24,236.84,135.61,90.23,136.24,128.96,133.42,127.07,63.83,153.50,116.90,4.00,48.01,100.37,1.33,0.92,1.32,1.27,1.27,1.26,0.67,1.47,1.15,0.02,0.53,1.03
97,89.17,70.46,78.67,99.18,83.08,71.90,26.46,95.19,72.25,52.00,27.57,70.78,217.16,182.56,199.83,243.66,206.27,180.96,75.85,230.73,186.31,141.99,77.01,186.04,"10,385.36","9,074.96","9,782.88","11,275.90","9,872.13","9,235.63","5,095.03","10,854.31","9,283.83","7,643.96","5,134.03","9,300.24",511.68,341.51,436.91,640.70,458.95,367.12,110.45,581.93,372.24,190.75,112.56,360.77,253.28,210.23,232.04,283.46,240.78,212.50,86.76,272.59,221.56,170.64,89.07,220.63,290.96,258.43,276.91,314.82,281.73,259.14,150.27,302.41,266.01,224.68,152.20,266.47,139.99,116.67,131.15,154.69,131.59,119.38,58.96,148.06,122.11,95.40,60.86,122.13,1.35,1.16,1.27,1.49,1.29,1.16,0.63,1.40,1.19,0.95,0.64,1.19
98,71.01,39.29,67.86,87.32,3.50,57.33,20.93,95.02,55.40,42.06,20.21,55.93,182.63,112.02,173.79,216.66,12.00,159.98,63.84,232.01,150.21,117.60,62.33,153.44,"9,187.76","6,478.77","8,896.93","10,313.39",400.00,"8,158.66","4,534.17","11,037.49","8,098.78","6,668.01","4,578.16","8,133.18",355.34,151.22,302.72,512.95,5.00,237.36,94.88,603.47,200.00,159.49,96.46,200.00,217.27,127.45,206.48,247.19,4.00,190.24,67.33,273.70,183.54,138.80,67.76,180.46,263.99,187.67,252.88,287.07,20.00,242.53,134.20,305.87,235.00,197.47,134.49,235.00,117.53,77.28,114.99,136.55,4.00,103.72,52.72,148.52,100.00,80.80,52.54,101.97,1.18,0.81,1.13,1.32,0.02,1.03,0.58,1.43,1.00,0.83,0.56,1.02
99,80.56,50.90,66.39,75.31,67.19,62.83,22.27,111.46,52.35,57.32,14.59,42.22,206.94,137.16,172.96,195.35,170.08,163.06,65.01,267.37,142.65,152.92,47.30,117.29,"9,893.24","7,442.25","8,952.38","9,531.16","8,734.24","8,475.44","4,625.10","12,119.68","7,731.78","8,172.03","3,825.63","6,691.05",452.40,183.73,321.25,388.90,318.19,281.21,100.80,746.95,192.90,213.10,74.06,161.18,238.66,164.22,203.93,224.29,209.11,192.89,73.24,307.65,169.31,187.70,49.75,135.84,279.08,218.40,258.06,269.36,256.40,244.56,140.68,334.70,226.17,237.50,112.97,195.45,130.82,93.45,113.23,124.01,115.27,106.38,54.95,168.79,96.56,101.50,42.32,81.39,1.25,0.93,1.12,1.20,1.12,1.07,0.57,1.61,0.97,1.04,0.47,0.84
100,92.42,51.03,78.44,94.95,71.35,59.94,34.54,120.50,61.19,55.40,14.05,68.01,224.50,139.87,195.21,230.59,178.78,160.15,97.04,285.68,165.51,147.96,45.62,172.15,"10,709.14","7,523.35","9,633.81","10,819.26","9,193.93","8,411.46","5,842.67","12,854.18","8,523.51","7,999.52","3,615.77","8,817.48",550.65,184.85,396.25,567.59,362.14,260.08,133.66,831.50,255.67,200.00,71.10,324.11,266.45,165.81,233.01,272.15,213.67,194.36,109.91,325.44,193.96,176.64,46.49,202.54,298.60,221.35,273.60,304.31,258.57,244.99,173.24,348.99,245.92,233.88,109.13,251.77,143.89,93.64,124.83,145.63,120.23,104.78,71.38,176.87,108.45,100.00,41.09,111.49,1.39,0.95,1.21,1.40,1.14,1.07,0.73,1.67,1.06,0.99,0.45,1.13
101,67.62,3.50,73.40,85.55,80.60,62.17,28.81,86.12,60.37,3.50,28.26,55.40,179.73,12.00,189.43,207.98,203.59,159.84,82.15,211.70,155.38,12.00,85.11,150.00,"8,954.48",400.00,"9,403.95","10,097.10","9,892.81","8,450.41","5,331.91","10,273.58","8,143.54",400.00,"5,414.73","8,000.00",327.59,5.00,372.80,471.65,443.29,267.83,117.50,485.27,240.54,5.00,121.46,200.00,212.41,4.00,222.69,249.66,240.55,189.04,95.18,249.11,184.56,4.00,93.69,179.17,261.24,20.00,264.30,285.93,279.33,242.95,157.17,288.54,241.96,20.00,157.25,234.89,116.38,4.00,123.58,133.23,130.34,108.26,63.62,134.60,103.56,4.00,62.92,99.47,1.15,0.02,1.18,1.29,1.26,1.04,0.66,1.32,1.03,0.02,0.66,1.00
102,70.60,50.99,87.70,102.35,87.67,54.81,31.25,97.47,59.17,60.63,24.83,63.54,176.77,140.45,214.24,248.51,215.10,147.36,91.46,240.86,156.86,163.51,75.38,169.20,"9,040.65","7,586.39","10,212.44","11,414.13","10,323.04","7,940.38","5,527.29","11,065.81","8,219.93","8,417.42","4,924.50","8,721.62",325.46,188.84,488.22,649.55,529.85,196.39,127.73,606.88,229.78,254.34,110.86,308.57,209.32,168.11,250.22,290.22,255.20,177.34,103.92,282.81,185.95,195.02,84.65,202.50,260.01,225.14,286.11,317.79,288.20,234.46,167.49,308.80,241.54,243.99,149.78,250.44,116.33,94.33,139.06,157.94,139.52,99.58,66.83,152.02,102.26,108.88,57.60,111.18,1.16,0.95,1.33,1.50,1.35,1.00,0.70,1.46,1.03,1.08,0.62,1.09
103,92.31,40.56,78.26,83.98,71.03,72.86,35.21,94.21,53.54,55.40,23.22,48.98,226.73,111.63,197.01,207.27,185.80,182.87,97.65,233.85,145.32,147.33,69.88,132.53,"10,823.08","6,489.56","9,774.19","9,939.23","9,364.55","9,258.62","5,962.33","10,923.70","7,777.38","7,964.05","4,777.70","7,361.83",558.67,155.06,441.17,471.98,369.65,370.17,136.64,582.73,192.48,197.42,106.06,176.77,263.28,133.26,234.76,245.94,220.45,217.47,113.16,270.50,170.17,178.81,78.73,157.84,302.60,191.12,276.26,284.78,267.47,261.01,175.94,299.61,227.60,232.23,145.49,215.27,144.57,80.01,126.86,132.64,121.91,121.51,71.25,144.22,97.38,99.83,57.39,90.72,1.40,0.82,1.26,1.30,1.18,1.17,0.75,1.41,0.97,1.00,0.61,0.92
104,93.69,60.45,74.56,71.28,66.49,50.84,34.09,95.95,70.92,56.58,15.65,66.21,232.91,163.62,191.41,187.52,175.77,139.18,95.93,234.49,185.21,153.68,50.95,165.86,"10,820.60","8,386.92","9,489.74","9,145.26","9,031.43","7,591.66","5,922.65","11,083.44","9,206.66","8,000.00","4,081.77","8,603.37",573.83,253.48,374.92,359.01,320.57,187.83,135.74,605.16,361.25,200.00,83.13,284.94,264.08,191.08,226.71,220.88,211.23,167.79,110.56,273.02,222.84,182.30,53.13,204.35,299.21,247.51,269.29,266.70,256.33,221.19,172.37,305.91,263.43,238.26,123.23,253.66,146.09,107.28,120.79,120.42,116.07,93.55,70.08,150.84,121.22,100.00,45.45,110.91,1.38,1.08,1.19,1.19,1.15,0.95,0.74,1.44,1.18,1.00,0.50,1.10
105,60.55,47.11,61.62,73.70,62.47,53.67,20.78,81.32,52.26,55.40,19.36,48.06,162.12,128.37,165.99,192.78,159.06,145.17,60.35,199.78,143.88,149.73,59.97,132.18,"8,242.94","7,122.86","8,671.12","9,404.50","8,345.54","7,839.32","4,517.32","9,941.05","7,791.39","7,991.46","4,369.06","7,350.70",236.32,173.41,283.41,368.77,265.64,194.17,91.81,446.76,193.48,199.82,92.52,178.97,187.88,153.92,197.24,224.33,196.35,176.96,65.40,234.58,170.74,180.00,62.89,159.41,243.38,209.40,250.78,266.04,247.58,230.36,132.93,279.74,226.39,235.00,128.80,217.06,106.70,89.60,109.58,124.59,105.78,97.75,50.95,131.26,97.04,99.44,51.08,91.37,1.04,0.89,1.08,1.19,1.07,0.99,0.56,1.26,0.96,0.99,0.55,0.92
106,79.84,28.80,65.02,77.13,70.24,65.28,17.79,77.78,50.81,49.73,18.34,49.06,203.65,82.93,168.61,199.88,184.37,173.31,52.54,195.01,138.90,136.65,57.11,132.91,"9,869.92","5,319.97","8,583.32","9,695.73","9,166.48","8,710.61","4,131.33","9,498.74","7,570.84","7,465.77","4,263.05","7,388.36",454.09,118.23,286.54,430.38,346.91,309.38,86.37,421.02,185.23,184.33,90.49,178.71,242.41,92.87,201.85,229.59,217.49,206.15,56.74,232.17,163.90,162.64,58.83,159.06,281.56,156.53,252.80,273.29,259.59,249.39,126.25,270.93,221.73,221.13,127.03,217.59,129.77,63.15,111.95,129.95,116.84,110.68,46.67,125.37,93.56,93.72,48.44,90.60,1.27,0.66,1.09,1.24,1.15,1.11,0.51,1.24,0.94,0.93,0.54,0.91
107,92.58,50.63,97.47,91.68,90.37,69.17,25.49,105.78,73.87,61.94,29.52,62.38,224.87,135.63,232.18,227.20,226.53,178.71,76.80,251.53,189.06,163.46,84.63,159.91,"10,682.42","7,432.67","10,887.00","10,554.00","10,620.90","9,011.51","5,109.34","11,746.62","9,211.11","8,597.83","5,382.54","8,531.00",540.09,185.95,607.84,551.36,546.70,314.47,111.94,694.20,382.14,257.12,118.79,264.39,265.19,162.52,276.87,265.90,258.06,206.04,84.49,295.61,220.99,199.39,94.35,190.64,296.73,220.76,304.64,299.29,297.30,256.26,149.91,321.90,267.94,247.42,157.94,241.90,144.41,92.28,150.66,143.32,142.57,116.71,58.93,158.21,121.67,107.41,62.51,106.04,1.39,0.94,1.43,1.38,1.37,1.13,0.63,1.51,1.20,1.08,0.67,1.04
108,70.35,55.07,57.85,77.96,69.84,58.27,33.01,72.67,61.13,48.13,16.20,76.51,181.36,149.11,153.96,203.24,181.41,151.24,92.74,191.18,165.39,133.53,52.46,195.00,"9,103.12","7,960.61","8,115.05","9,804.33","9,048.16","8,074.57","5,712.31","9,422.36","8,327.60","7,393.13","4,140.47","9,534.20",360.42,196.64,200.00,426.15,324.53,235.39,131.52,386.20,257.11,180.08,82.56,415.03,215.02,177.96,181.30,234.96,211.63,183.87,106.46,222.13,196.72,160.36,53.64,229.48,265.10,231.53,235.00,274.52,259.63,237.28,170.33,266.31,242.97,214.98,122.21,269.87,119.25,98.92,100.34,130.92,116.31,100.78,69.95,123.86,105.45,91.38,45.79,124.03,1.17,0.99,1.01,1.26,1.15,1.01,0.72,1.21,1.06,0.91,0.52,1.21
109,78.19,3.50,71.07,66.00,82.30,71.35,28.89,80.49,76.58,3.50,18.09,58.02,199.20,12.00,187.87,174.66,202.43,183.67,82.92,200.73,196.39,12.00,57.49,158.06,"9,780.76",400.00,"9,118.58","8,701.31","9,869.47","9,200.63","5,300.02","9,791.15","9,603.13",400.00,"4,257.19","8,156.20",434.44,5.00,344.53,302.96,461.28,363.22,119.72,416.68,411.94,5.00,88.10,242.36,233.91,4.00,220.30,206.17,241.26,216.93,92.38,234.62,228.31,4.00,61.83,189.09,276.47,20.00,260.42,252.62,280.15,264.07,158.01,278.27,271.49,20.00,129.61,238.97,129.28,4.00,118.71,113.98,130.75,123.35,63.08,130.88,126.25,4.00,49.92,102.05,1.24,0.02,1.16,1.12,1.26,1.18,0.67,1.24,1.25,0.02,0.54,1.01
110,101.51,49.46,83.60,81.53,95.70,77.71,23.17,77.60,77.75,63.14,24.03,57.67,248.14,137.20,208.49,198.57,230.60,198.57,68.64,202.70,194.87,166.83,71.44,153.31,"11,228.42","7,498.98","9,886.52","9,932.70","10,878.07","9,538.68","4,696.25","9,649.35","9,452.95","8,591.08","4,889.02","8,173.96",651.63,182.35,458.57,429.71,592.83,397.18,102.80,447.69,412.86,273.32,108.08,225.40,284.90,164.96,242.80,239.72,268.14,230.53,77.13,236.35,228.98,197.60,81.50,188.45,314.00,221.89,281.92,279.67,304.04,270.99,140.30,273.54,274.69,244.46,147.43,237.18,153.01,93.57,133.78,128.20,148.02,127.36,55.13,129.41,124.67,108.99,56.91,101.51,1.46,0.94,1.29,1.24,1.40,1.22,0.59,1.25,1.24,1.06,0.61,1.02
111,93.77,48.08,68.45,76.74,71.61,67.02,23.59,95.24,81.23,43.79,14.91,64.58,230.07,133.99,176.78,196.62,185.55,167.82,72.19,229.32,205.24,120.31,47.61,164.65,"10,662.75","7,381.35","8,848.43","9,691.56","9,139.74","8,615.28","4,909.72","10,906.98","9,703.13","6,842.04","3,822.48","8,555.55",568.81,181.91,334.54,426.62,377.26,291.88,107.04,578.74,443.17,165.26,75.42,288.11,264.17,160.14,212.82,227.60,216.62,207.04,79.27,271.67,236.53,143.93,50.42,197.05,299.41,216.52,255.94,272.42,265.43,254.67,144.09,299.74,279.24,203.09,115.85,250.00,146.73,90.83,113.92,126.16,118.42,113.98,56.56,144.55,129.58,83.47,42.91,110.86,1.38,0.92,1.13,1.22,1.16,1.10,0.62,1.42,1.25,0.86,0.49,1.09
112,70.35,49.14,71.34,66.30,56.11,55.40,21.70,71.26,44.66,50.26,12.89,45.99,184.64,136.64,186.13,174.49,156.50,153.37,62.22,186.12,122.50,138.41,41.67,125.55,"9,270.08","7,371.25","9,319.11","8,927.02","8,173.68","8,000.00","4,593.44","9,251.27","6,933.51","7,423.37","3,360.15","7,090.16",363.85,181.54,370.61,322.60,209.77,200.00,97.62,368.45,169.13,184.75,66.11,170.99,221.18,162.37,215.60,209.62,186.12,183.01,69.47,214.61,144.80,163.83,42.68,149.73,263.67,217.51,265.00,257.12,237.59,235.28,137.01,260.61,206.06,219.66,100.47,208.51,121.44,91.01,118.72,114.02,104.18,100.00,52.26,119.51,84.85,91.78,36.73,86.93,1.17,0.93,1.17,1.12,1.03,1.01,0.57,1.16,0.88,0.93,0.41,0.89
113,77.88,43.67,65.97,65.54,69.48,50.06,16.58,58.88,65.24,50.24,11.97,52.22,195.95,122.65,171.61,172.33,179.24,136.58,51.64,158.05,168.98,135.01,37.08,141.00,"9,738.63","6,833.89","8,710.80","8,709.08","9,166.65","7,385.37","4,007.45","8,472.52","8,679.70","7,355.60","3,056.79","7,726.67",434.62,168.41,287.73,311.55,343.32,182.60,81.04,260.42,289.14,181.84,60.23,189.33,230.57,144.43,202.95,207.39,219.18,161.22,53.41,190.93,202.96,162.44,40.16,168.94,270.99,202.19,252.70,252.49,261.14,217.53,122.15,244.97,249.35,219.28,90.07,223.93,127.67,84.85,113.78,112.29,119.31,90.87,46.16,105.13,110.91,91.02,34.44,94.86,1.24,0.86,1.11,1.12,1.16,0.92,0.52,1.07,1.11,0.92,0.38,0.96
114,79.03,58.77,75.61,88.72,83.06,57.93,21.38,105.54,68.63,49.16,22.82,60.44,199.24,157.88,195.81,216.77,212.48,155.86,65.90,256.99,174.70,136.37,69.68,158.43,"9,823.82","8,221.37","9,543.01","10,329.90","10,016.06","8,000.00","4,657.52","11,611.55","8,792.07","7,390.98","4,740.16","8,246.93",444.30,236.33,403.66,535.72,470.59,211.99,99.63,675.95,308.66,181.25,101.84,255.57,237.46,184.68,224.16,255.06,248.68,181.59,71.45,292.92,209.51,158.92,74.48,193.29,281.42,243.55,270.75,288.85,287.27,235.27,136.19,321.38,256.99,217.38,140.98,243.33,129.33,103.48,123.82,139.29,135.19,102.70,52.56,161.34,116.24,92.65,54.94,105.72,1.28,1.04,1.21,1.36,1.32,1.00,0.57,1.53,1.12,0.93,0.59,1.06
